Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/admin/logs?limit=30,3639,27,63,75.35025333859258,55.489899998065084,1743.956500024069,34.86067600989283,5.308987622565267,0.03939067485827486,63,66,69,73,92,120,180,240,1500,1700,1700
GET,/api/admin/stats,14354,110,63,74.69576070089725,54.669200035277754,2403.453200007789,34.888950815103804,20.941249885765828,0.16048052720037906,63,66,69,72,89,120,170,230,1200,2400,2400
POST,/auth/login [admin],240,0,150,252.48169916546127,118.28489997424185,2386.7614999762736,38.0,0.3501393320735543,0.0,150,170,180,190,350,1300,1400,2400,2400,2400,2400
POST,/auth/login [user],960,0,150,251.45153156275532,115.45079998904839,2383.8196999859065,38.0,1.4005573282942172,0.0,150,170,180,190,350,1300,1400,2400,2400,2400,2400
GET,/products [init],960,0,72,97.46172291719024,56.610000028740615,377.35259998589754,58.0,1.4005573282942172,0.0,72,78,86,97,170,300,360,370,380,380,380
GET,/products?[filters],111813,878,64,75.72702322005887,54.830500041134655,2431.7500999895856,58.722420469891695,163.12553807141802,1.2809263898357528,64,67,70,73,90,120,170,230,1500,2300,2400
,Aggregated,131966,1015,64,77.36235470048874,54.669200035277754,2431.7500999895856,55.27835957746692,192.5270295684111,1.4807975918944067,64,67,70,74,93,130,180,250,1600,2400,2400
