Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/admin/logs?limit=30,115,109,63,3285.074936524135,55.40169996675104,30119.24770002952,144.57391304347826,1.9120824082949193,1.8123215869925757,63,70,90,97,20000,30000,30000,30000,30000,30000,30000
GET,/api/admin/stats,500,485,64,2856.8408204012085,55.777200032025576,30244.651700020768,175.456,8.313401775195302,8.063999721939442,64,71,84,98,7700,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=1&limit=20,10,9,62,5847.135039995192,58.37230000179261,30061.098999984097,781.5,0.16626803550390604,0.14964123195351542,63,70,180,28000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=1&limit=20&is_active=false,3,3,69,10063.871833321173,61.60479999380186,30061.340900021605,150.0,0.04988041065117181,0.04988041065117181,69,69,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=1&limit=20&is_active=true,5,5,69,84.19293999904767,61.52789999032393,136.43539999611676,150.0,0.08313401775195302,0.08313401775195302,69,92,92,140,140,140,140,140,140,140,140
GET,/api/admin/users?page=2&limit=20,13,12,63,4523.091807688335,57.55169998155907,30061.061099986546,636.2307692307693,0.21614844615507783,0.19952164260468724,63,82,89,140,28000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=2&limit=20&is_active=false,5,5,68,12076.068640011363,57.853100006468594,30131.91659998847,150.0,0.08313401775195302,0.08313401775195302,68,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=2&limit=20&is_active=true,5,5,62,6061.287139996421,59.156899980735034,30060.127400036436,150.0,0.08313401775195302,0.08313401775195302,62,65,65,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=3&limit=20,12,12,67,10068.177091670805,57.30370001401752,30070.543200010434,150.0,0.19952164260468724,0.19952164260468724,69,120,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=3&limit=20&is_active=false,3,3,71,10065.954633289948,62.46399995870888,30064.45199996233,150.0,0.04988041065117181,0.04988041065117181,71,71,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=3&limit=20&is_active=true,1,1,61.49210000876337,61.49210000876337,61.49210000876337,61.49210000876337,150.0,0.016626803550390604,0.016626803550390604,61,61,61,61,61,61,61,61,61,61,61
GET,/api/admin/users?page=4&limit=20,14,13,65,6301.480721424533,56.649699981790036,30061.5822999971,143.5,0.23277524970546845,0.21614844615507783,66,93,130,27000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=4&limit=20&is_active=false,3,3,110,10078.852633324763,61.77249999018386,30061.787299986463,150.0,0.04988041065117181,0.04988041065117181,110,110,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=4&limit=20&is_active=true,1,1,62.091799976769835,62.091799976769835,62.091799976769835,62.091799976769835,150.0,0.016626803550390604,0.016626803550390604,62,62,62,62,62,62,62,62,62,62,62
GET,/api/admin/users?page=5&limit=20,15,13,66,6088.166626659222,58.607400045730174,30302.05080000451,137.86666666666667,0.24940205325585904,0.21614844615507783,66,95,120,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=5&limit=20&is_active=false,6,5,61,9672.071283333935,59.426199994049966,30061.726699990686,134.66666666666666,0.09976082130234362,0.08313401775195302,180,180,28000,28000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=5&limit=20&is_active=true,7,7,77,12925.281528574747,59.36459999065846,30085.519999964163,150.0,0.11638762485273423,0.11638762485273423,77,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,/auth/login [admin],200,0,26000,20478.523480002477,193.7885000370443,31146.533199993428,232.21,3.3253607100781206,0.0,26000,30000,30000,30000,30000,31000,31000,31000,31000,31000,31000
POST,/auth/login [user],800,0,29000,21565.691101500346,181.81749997893348,31161.91730002174,222.09125,13.301442840312482,0.0,29000,30000,30000,30000,31000,31000,31000,31000,31000,31000,31000
POST,/orders [POST],600,600,62,121.3540071665193,55.202299961820245,30057.92809999548,150.01666666666668,9.976082130234362,9.976082130234362,62,65,68,73,91,130,190,210,30000,30000,30000
GET,/orders [admin list],120,116,63,4457.262469999841,57.20949999522418,30089.963200036436,500.80833333333334,1.9952164260468723,1.92870921184531,63,75,86,110,30000,30000,30000,30000,30000,30000,30000
GET,/orders [user list],426,423,62,261.5288833345881,55.02120003802702,28750.055200012866,187.3450704225352,7.083018312466397,7.033137901815225,62,65,69,75,93,120,200,220,29000,29000,29000
GET,/products [init],374,344,30000,23469.206712564333,115.58010004227981,30227.92410000693,850.6684491978609,6.218424527846086,5.719620421334367,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/products/<id>,1696,1694,63,106.7141123231814,54.57350000506267,28827.901599986944,150.19162735849056,28.19905882146246,28.165805214361683,63,67,72,77,100,130,170,210,29000,29000,29000
GET,/products?[filters],3505,3407,63,896.9595297005894,54.31679997127503,30228.262300021015,211.51925820256776,58.27694644411906,56.64751969618079,63,68,75,84,120,170,28000,30000,30000,30000,30000
,Aggregated,8439,7275,65,4351.685041877188,54.31679997127503,31161.91730002174,225.18734447209386,140.3135951617463,120.95999582909164,65,80,110,160,30000,30000,30000,31000,31000,31000,31000
